[2023-08-08 15:33:40] Ora2Pg version: 24.0
[2023-08-08 15:33:40] Export type: SHOW_TABLE
[2023-08-08 15:33:40] Geometry export type: INTERNAL
[2023-08-08 15:33:40] ORACLE_HOME = /opt/instant_client_12_2
[2023-08-08 15:33:40] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2023-08-08 15:33:40] NLS_NCHAR = AL32UTF8
[2023-08-08 15:33:40] Trying to connect to database: dbi:Oracle:host=172.17.0.5;sid=xe;port=1521
[2023-08-08 15:33:41] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2023-08-08 15:33:41] Showing table information...
[2023-08-08 15:33:42] Collecting 201 tables in DBA_OBJECTS took:  1 wallclock secs ( 0.01 usr +  0.00 sys =  0.01 CPU)
[2023-08-08 15:33:43] Collecting 199 tables information in DBA_TABLES took:  1 wallclock secs ( 0.01 usr +  0.01 sys =  0.02 CPU)
[2023-08-08 15:33:43] Retrieving column identity information...
[2023-08-08 15:33:43] Looking to subpartition information...
[2023-08-08 15:33:44] Looking to partitioned tables information...
[2023-08-08 15:33:46] Looking to external tables information...
[2023-08-08 15:33:46] [52] TABLE JUROR.PANEL_GROUP (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [53] TABLE JUROR.PART_AMENDMENTS (owner: JUROR, 30 rows)
[2023-08-08 15:33:46] [54] TABLE JUROR.PART_EXPENSES (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [55] TABLE JUROR.PART_HIST (owner: JUROR, 916 rows)
[2023-08-08 15:33:46] [56] TABLE JUROR.PASSWORD (owner: JUROR, 73 rows) (Warning: 'PASSWORD' is a reserved word in PostgreSQL)
[2023-08-08 15:33:46] [57] TABLE JUROR.PEAK_USAGE (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [58] TABLE JUROR.PHOENIX_TEMP (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [59] TABLE JUROR.PHONE_LOG (owner: JUROR, 18 rows)
[2023-08-08 15:33:46] [60] TABLE JUROR.PL_XML_STATUS (owner: JUROR, 19110 rows)
[2023-08-08 15:33:46] [61] TABLE JUROR.PNC_PROXY (owner: JUROR, 1 rows)
[2023-08-08 15:33:46] [62] TABLE JUROR.POOL (owner: JUROR, 909 rows)
[2023-08-08 15:33:46] [63] TABLE JUROR.POOL_COMMENTS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [64] TABLE JUROR.POOL_HIST (owner: JUROR, 6 rows)
[2023-08-08 15:33:46] [65] TABLE JUROR.POOL_STATS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [66] TABLE JUROR.POOL_STATUS (owner: JUROR, 12 rows)
[2023-08-08 15:33:46] [67] TABLE JUROR.POOL_TYPE (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [68] TABLE JUROR.POSTPONE_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [69] TABLE JUROR.PRINT_FILES (owner: JUROR, 900 rows)
[2023-08-08 15:33:46] [70] TABLE JUROR.RACE_RECORDS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [71] TABLE JUROR.RELEASE_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [72] TABLE JUROR.REQUEST_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [73] TABLE JUROR.SEATING_PLAN (owner: JUROR, 65 rows)
[2023-08-08 15:33:46] [74] TABLE JUROR.SECURITY_LEVEL (owner: JUROR, 7414 rows)
[2023-08-08 15:33:46] [75] TABLE JUROR.STATES (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [76] TABLE JUROR.STAT_STANDARDS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [77] TABLE JUROR.SYSTEM_FILE (owner: JUROR, 13 rows)
[2023-08-08 15:33:46] [78] TABLE JUROR.SYSTEM_PARAMETER (owner: JUROR, 24 rows)
[2023-08-08 15:33:46] [79] TABLE JUROR.TRIAL (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [80] TABLE JUROR.TRIAL_CAN_REAS (owner: JUROR, 2 rows)
[2023-08-08 15:33:46] [81] TABLE JUROR.TRIAL_CHARGE_CODE (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [82] TABLE JUROR.T_DONATION (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [83] TABLE JUROR.T_HISTORY_CODE (owner: JUROR, 61 rows)
[2023-08-08 15:33:46] [84] TABLE JUROR.T_ID_CHECK (owner: JUROR, 11 rows)
[2023-08-08 15:33:46] [85] TABLE JUROR.T_JURISDICTION (owner: JUROR, 11 rows)
[2023-08-08 15:33:46] [86] TABLE JUROR.T_LOC_JURIS_TYPE (owner: JUROR, 13 rows)
[2023-08-08 15:33:46] [87] TABLE JUROR.T_MESSAGE_TEMPLATE (owner: JUROR, 20 rows)
[2023-08-08 15:33:46] [88] TABLE JUROR.T_MILEAGE (owner: JUROR, 5 rows)
[2023-08-08 15:33:46] [89] TABLE JUROR.T_OCCUPATION (owner: JUROR, 7 rows)
[2023-08-08 15:33:46] [90] TABLE JUROR.T_PHONE (owner: JUROR, 4 rows)
[2023-08-08 15:33:46] [91] TABLE JUROR.T_POLICE (owner: JUROR, 9 rows)
[2023-08-08 15:33:46] [92] TABLE JUROR.T_RACE_CODE (owner: JUROR, 7 rows)
[2023-08-08 15:33:46] [93] TABLE JUROR.T_SPECIAL (owner: JUROR, 10 rows)
[2023-08-08 15:33:46] [94] TABLE JUROR.T_TYPE (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [95] TABLE JUROR.UNDELIVR (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [96] TABLE JUROR.UNIQUE_POOL (owner: JUROR, 12 rows)
[2023-08-08 15:33:46] [97] TABLE JUROR.USER_LEVEL_MENUS (owner: JUROR, 787 rows)
[2023-08-08 15:33:46] [98] TABLE JUROR.VENIRE (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [99] TABLE JUROR.VOTERS127 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [100] TABLE JUROR.VOTERS401 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [101] TABLE JUROR.VOTERS402 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [102] TABLE JUROR.VOTERS403 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [103] TABLE JUROR.VOTERS404 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [104] TABLE JUROR.VOTERS406 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [105] TABLE JUROR.VOTERS407 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [106] TABLE JUROR.VOTERS408 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [107] TABLE JUROR.VOTERS409 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [108] TABLE JUROR.VOTERS410 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [109] TABLE JUROR.VOTERS411 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [110] TABLE JUROR.VOTERS412 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [111] TABLE JUROR.VOTERS413 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [112] TABLE JUROR.VOTERS414 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [113] TABLE JUROR.VOTERS415 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [114] TABLE JUROR.VOTERS416 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [115] TABLE JUROR.VOTERS417 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [116] TABLE JUROR.VOTERS418 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [117] TABLE JUROR.VOTERS419 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [118] TABLE JUROR.VOTERS420 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [119] TABLE JUROR.VOTERS421 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [120] TABLE JUROR.VOTERS422 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [121] TABLE JUROR.VOTERS423 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [122] TABLE JUROR.VOTERS424 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [123] TABLE JUROR.VOTERS425 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [124] TABLE JUROR.VOTERS426 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [125] TABLE JUROR.VOTERS427 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [126] TABLE JUROR.VOTERS428 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [127] TABLE JUROR.VOTERS429 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [128] TABLE JUROR.VOTERS430 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [129] TABLE JUROR.VOTERS431 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [130] TABLE JUROR.VOTERS432 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [131] TABLE JUROR.VOTERS433 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [132] TABLE JUROR.VOTERS434 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [133] TABLE JUROR.VOTERS435 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [134] TABLE JUROR.VOTERS436 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [135] TABLE JUROR.VOTERS437 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [136] TABLE JUROR.VOTERS439 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [137] TABLE JUROR.VOTERS440 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [138] TABLE JUROR.VOTERS441 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [139] TABLE JUROR.VOTERS442 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [140] TABLE JUROR.VOTERS443 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [141] TABLE JUROR.VOTERS444 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [142] TABLE JUROR.VOTERS445 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [143] TABLE JUROR.VOTERS446 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [144] TABLE JUROR.VOTERS447 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [145] TABLE JUROR.VOTERS448 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [146] TABLE JUROR.VOTERS449 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [147] TABLE JUROR.VOTERS450 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [148] TABLE JUROR.VOTERS451 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [149] TABLE JUROR.VOTERS452 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [150] TABLE JUROR.VOTERS453 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [151] TABLE JUROR.VOTERS454 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [152] TABLE JUROR.VOTERS455 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [153] TABLE JUROR.VOTERS456 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [154] TABLE JUROR.VOTERS457 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [155] TABLE JUROR.VOTERS458 (owner: JUROR, 999 rows)
